LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
404668,2012/05/22 04:00:00+00,2012/06/02 04:00:00+00,2012/06/03 04:00:00+00,61375,25,"St.Rose of Lima Roman Catholic Congregation, Incorporated",Community Event,WS,BW,Beer & Wines,410 E. JEFFREY STREET,21225,410 E. JEFFREY STREET 21225
404669,2012/05/23 04:00:00+00,2012/05/27 04:00:00+00,2012/05/28 04:00:00+00,61376,25,Sowebo Arts Inc.,Festival,WS,BW,Beer & Wines,1000-1200 Blks Hollins Street,21223,1000-1200 Blks Hollins Street 21223
404670,2012/05/23 04:00:00+00,2012/06/09 04:00:00+00,2012/06/10 04:00:00+00,61377,50,MARYLAND HISTORICAL SOCIETY,Exhibit Openning Celebration,LS,BWL,"Beer, Wine, & Liquor",201 MARYLAND HISTORICAL SOC.-W. MONUMENT ST.,21201,201 MARYLAND HISTORICAL SOC.-W. MONUMENT ST. 21201
404671,2012/05/23 04:00:00+00,2012/06/09 04:00:00+00,2012/06/10 04:00:00+00,61378,50,"Baltimore Animal Rescue & Care Shelter, Inc",Fundaiser,LS,BWL,"Beer, Wine, & Liquor",901 W. PRATT STREET,21230,901 W. PRATT STREET 21230
404672,2012/05/24 04:00:00+00,2012/05/24 04:00:00+00,2012/05/25 04:00:00+00,61379,50,"Music 4 More, Inc",Dance,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230,1310-20 RUSSELL STREET 21230
404673,2012/05/24 04:00:00+00,2012/06/03 04:00:00+00,2012/06/04 04:00:00+00,61380,50,"FEDERAL HILL MAIN STREET, INC.",STREET FESTIVAL,LS,BWL,"Beer, Wine, & Liquor",1000-1100 BLKS S. CHARLES STREET,21230,1000-1100 BLKS S. CHARLES STREET 21230
404674,2012/05/25 04:00:00+00,2012/05/26 04:00:00+00,2012/05/27 04:00:00+00,61381,50,KURK LEE FOUNDATION,Fundaiser,LS,BWL,"Beer, Wine, & Liquor",2900 Liberty Road,21215,2900 Liberty Road 21215
404675,2012/05/25 04:00:00+00,2012/06/23 04:00:00+00,2012/06/24 04:00:00+00,61382,50,MORGAN STATE UNIVERSITY,Reception,LS,BWL,"Beer, Wine, & Liquor",1700 E. Cold Spring Lane,21251,1700 E. Cold Spring Lane 21251
404676,2012/05/25 04:00:00+00,2012/06/07 04:00:00+00,2012/06/08 04:00:00+00,61383,25,The Historic Charles Street Association,First Thursdays,WS,BW,Beer & Wines,Mt. Vernon Place Park-East Square,21202,Mt. Vernon Place Park-East Square 21202
404677,2012/05/25 04:00:00+00,2012/07/05 04:00:00+00,2012/07/06 04:00:00+00,61384,25,The Historic Charles Street Association,First Thursdays,WS,BW,Beer & Wines,Mt. Vernon Place Park-East Square,21202,Mt. Vernon Place Park-East Square 21202
